id;annee;hour;country; city;lat;Long;compagnie;lat_depart;lon_depart;lat_arrivee;lon_arrivee;plane_model;passagers;dead;story
23;01/01/2003;15;Italie;Milan;45.463618;9.188116;Eurojet Italila;45.4636183;9.1881156;44.411111;8.932778;Gates Learjet 45;2;2;Shortly after taking off the jet nosed into the ground. Malfunction of the trim tab system.
24;01/01/1968;14;Italie;Milan;45.463618;9.188116;Aitalia;41.8905568;12.4942679;45.4636183;9.1881156;McDonnell Douglas DC-8;95;13;Crashed on approach, 7 miles north of the runway. Positioning for final approach by means of a non-standard procedure. Delayed detection of the VOR radial.
25;01/01/2004;5;Italie;Cagliari;39.25;9.05;City;41.8905568;12.4942679;39.25;9.05;Cessna Citation 500;6;6;The aircraft was on an ambulance flight to Cagliari-Elmas Airport with 2 doctors, 2 nurses and 2 crew aboard. During its approach, the aircraft struck a mountain at 3,000 ft., a few miles from the airport.
26;01/01/1969;14;Bangladesh;Khulnâ;22.816667;89.55;Indian Airlines;24.8294581;92.787475;22.816667;89.55;Fokker F-27 Friendship 100;44;44;The aircraft crashed in adverse weather conditions. Windshear. The crew tried to fly through thunderstorms at a low level but lost control in severe downdrafts.
27;01/01/1992;12;Russie;Norilsk;69.333333;88.216667;Krasnoyarskavia;67.4564727;86.5306174;54.983333;73.366667;Antonov AN-12;12;10;A missed approach was followed by the left wing and landing gear hitting the runway which led to a stall and crash, right of the runway.
28;01/01/1981;19;Russie;Norilsk;69.333333;88.216667;Aeroflot;56.01005;92.8526;69.333333;88.216667;Tupolev TU-154B-2;167;99;The plane acquired excessive vertical speed and descended below the glideslope while attempting to land. The aircraft impacted terrain in an open field and slid across frozen ground for about 300 m. The high descent rate could not be countered by applying maximum elevator trim. Malfunctioning elevator.
29;01/01/1963;4;Inde;Samta;22.479911;87.911337;Indian Airlines;31.64;74.86;34.09;74.79;Douglas C-47;29;29;Cashed 25 miles from Amritsar. Structural failure of the aircraft in the air, following overstressing, as a result of loss of control. The loss of control was caused by improper rigging of the rudder bungee system.
30;01/01/2004;10;Chine;Ürümqi;43.825;87.6;AZAL Cargo Company;37.869444;112.560278;43.825;87.6;Ilyushin II-76TD;7;7;About two minutes after takeoff and while climbing, the aircraft stalled and crashed in a field 10 km from the airport.
31;01/01/2008;7;Népal;Lukla;27.683333;86.716667;Yeti Airlines;27.7120171;85.3129501;27.683333;86.716667;de Havilland Canada DHC-6 Twin Otter 300;19;18;As the passenger plane came in for a landing, in fog, the main landing gears snagged on a security fence. The plane crashed to the ground and caught fire. The pilot was the only survivor. The cause was the two pilots who misjudged deteriorating weather conditions and flew inside a patch of fog while trying to land at Lukla airport, which is carved into the side of the Himalayas at an altitude of 9,200 feet.
32;01/01/2004;13;Népal;Lukla;27.683333;86.716667;Yeti Airlines;27.7120171;85.3129501;27.683333;86.716667;de Havilland DHC-6 Twin Otter 300;3;3;While on approach to Lukla, the cargo plane crashed into Lamjura Hill in heavy cloud cover. Hazardous behavior and attitudes of the captain such as over-confidence, being care-free, and non-compliance of the regulations caused the accident.
33;01/01/1999;10;Népal;Katmandou;27.712017;85.31295;Necon Air;28.2636108;83.9723892;27.7120171;85.3129501;Hawker Siddeley HS-748-501 Super 2B;15;15;While on approach to Tribhuvan International Airport, the aircraft struck a telecommunication tower with its left wing and crashed onto slopes of a wooded area, 6 miles southwest of the airport.
34;01/01/1999;19;Népal;Katmandou;27.712017;85.31295;Lufthansa Cargo Airlines;27.7120171;85.3129501;28.613889;77.208889;Boeing 727-243F;5;5;The cargo plane crashed into the Champadevi mountains at an altitude of 7,500 ft. The plane was flying too low. Failure to the adhere to Standard Instrument Departure Procedure by the crew and failure of the controllers to warn the flight.
35;01/01/1962;13;Népal;Katmandou;27.712017;85.31295;Royal Nepal Airlines;27.7120171;85.3129501;28.613889;77.208889;Douglas DC-3;10;10;Crashed into a 11,200 ft. mountain, 100 miles from New Deli. Dirfted off course to the north of the intended track.
36;01/01/1995;13;Népal;Katmandou;27.712017;85.31295;Royal Nepal Airlines;27.7120171;85.3129501;27.3;86.55;de Havilland Canada DHC-6 Twin Otter 300;24;2;The captain decided to aborted the take-off. However, the aircraft was never brought to a stop and it continued on overrunning the runway and crashing down a steep slope. Failure of the crew to follow the correct procedure to continue with the rejection of the take-off once that action had been initiated. Lack of crew coordination, insufficient emphasis on emergency training, inadequate enforcement of the requirements of the operations manual and a lack of supervision during loading preparation.
37;01/01/1992;14;Népal;Katmandou;27.712017;85.31295;Pakistan International Airlines;24.850248;67.007546;27.7120171;85.3129501;Airbus A300B4-203;167;167;The plane hit cloud covered high ground while attempting to land, 9 nm short of the runway at Bhattedanda hill. The pilot began the descent too early and had miscalculated the aircraft's altitude. Failure of the crew to follow prescribed procedures.
38;01/01/2000;7;Inde;Patna;25.611;85.144;Indian Airlines/Alliance Airlines;22.5655734;88.3702152;25.611;85.144;Boeing B-737-2A8 Advanced;58;55;While attempting to land at Patna, the aircraft was too high and the crew attempted a go-around. During the second landing attempt, the aircraft was again high, veered to left and lost altitude until it crashed into houses in the Gardanibagh district and burst into flames. The cause of the accident was loss of control of the aircraft due to crew error. The crew did not followed the correct approach procedure, which resulted in the aircraft being high on approach. The crew then initiated a 'go-around procedure' instead of an 'approach to stall recovery procedure' resulting in an actual stall of the aircraft, loss of control and subsequent impact with the ground.
39;01/01/1993;13;Népal;Devghat;27.8;84.41;Everest Air;27.7120171;85.3129501;27.683333;84.433333;Dornier Do-228-101;19;19;The aircraft flew into a hillside during a visual approach to Bharatpur. The accident happened in daylight and good weather, however, the mountains were shrouded in clouds.
40;01/01/2002;9;Népal;Pokhara;28.263611;83.972389;Shangri La Air;28.783333;83.730556;28.2636108;83.9723892;de Havilland Canada DHC-6-300 Twin Otter;18;18;The plane crashed into a hill 3 miles southeast of Pokhara Airport while on approach. The plane broke into several pieces and bodies and wreckage was scattered over a small area. There was poor weather in the area at the time of the accident.
41;01/01/1999;16;Népal;Jumla;29.25;82.216702;Necon Air;29.2500001;82.2167016;28.0639172;81.6195831;Cessna 208 Caravan I;12;4;While taking off the aircraft stalled, crashed and caught fire. Incorrectly set flaps for takeoff.
42;01/01/2005;10;Guinée équatoriale;Baney;3.62338;8.900494;Ecuatair;-20.4428674;29.0431486;1.858825;9.7682739;Antonov AN-24B;60;60;The airliner disappeared from radar and crashed into dense jungle shortly after taking off from Malabala. A witness saw flames coming from the side of the plane shortly after take-off. The plane then tilted and fell, skidded over trees for a distance of about half a mile and crashed. The plane was overloaded. The aircraft was built to accommodate a maximum of 48 passengers.
43;01/01/1966;17;Allemagne;Brême;53.083333;8.8;Lufthansa;50.110884;8.6794922;53.083333;8.8;Convair CV-440-0;46;46;Crashed on approach in heavy fog. The aircraft stalled while making a turn at low altitude. Instrument malfunction.
44;01/01/1991;11;Allemagne;Heidelberg;49.401917;8.6803;ClassiWings;50.110884;8.6794922;50.110884;8.6794922;Douglas DC-3A;30;27;The sightseeing tour struck a hill at 2,000 ft. while making a left turn in turbulence. Poor crew coordination. Overloaded.
45;01/01/1967;4;Allemagne;Francfort-sur-le-Main;50.110884;8.679492;Air Ferry;53.4807125;-2.2343765;50.110884;8.6794922;Douglas C-54A;2;2;The cargo plane crashed short of the runway. The crew did not set the altimeters in the final approach according to the instructions in the operations manual. This error was aggravated by the fact that the final approach check list did not coincide with the altimeter setting procedure. In consequence the crew unintentionally flew below critical height and the aircraft collided with trees when the altimeters were showing approx. 200 ft. above the critical height.
46;01/01/1952;10;Allemagne;Francfort-sur-le-Main;50.110884;8.679492;KLM Royal Dutch Airlines;41.8905568;12.4942679;50.110884;8.6794922;Douglas DC-6;47;44;Crashed and burst into flames two miles short of the runway in rain and fog during the approach. Cause unknown. The aircraft was named 'Koningin Juliana.'
47;01/01/2001;10;Allemagne;Bremerhaven;53.55;8.583333;BAL Bremerhaven Airline;53.55;8.583333;53.78812;7.9004975;Britten Norman BN-2B Trislander;9;8;The aircraft crashed into the Weser River shortly after taking off from Bremerhaven Airport. Three persons were pulled from the river, two of whom died shortly thereafter as a result of their injuries.
48;01/01/1971;15;Suisse;Zurich;47.366667;8.55;Balkan Bulgarian Airlines;48.856895;2.3508487;47.366667;8.55;Ilyushin IL-18;47;45;The crew decided while on the ground at Paris not to stop at Zurich but later, while in flight, changed their minds when they received reports of improving weather. The plane crashed during the approach to Zurich after drifting to the right and below the glide path. The left wing tip and landing gear struck the ground first.
49;01/01/1970;13;Suisse;Zurich;47.366667;8.55;Swissair;47.366667;8.55;32.136871;34.796277;Convair CV-990-30A-6;47;47;About 9 minutes after taking off, the crew reported trouble with the aircraft's cabin pressure and radioed they were returning to the airport. The crew reported they suspected an explosion in the aft cargo hold. While returning to the airport the crew lost navigational instruments and electrical power. The cockpit filled with smoke and the plane crashed into a forest. Detonation of an explosive device in the rear section of the passenger cabin shortly after takeoff. A bomb with an altimeter trigger was believed to have been placed in a package mailed to an Israeli address by Palestinian extremists.
50;01/01/1988;7;Allemagne;Mannheim;49.484677;8.476724;NFD;52.366667;9.716667;51.224956;6.7756691;Swearingen SA.227AC Metro III;21;21;The plane was struck by lightning and suffered a complete electrical failure after which the right wing broke off during an uncontrollable descent.
51;01/01/1993;20;Norvège;Dagali;60.411755;8.442963;West Aviation;-8.383333;-74.55;60.4117547;8.4429627;Beech Super King Air 200;10;3;Crashed 5 km short and 1km to the right of Runway 26 in poor weather conditons
52;01/01/1983;9;Suisse;Engelberg;46.816667;8.4;Eastern Air Lines;25.775084;-80.194702;25.0465887;-77.3765998;Lockheed L-1011;172;0;Procedural error by maintenance crew caused O-ring seal to be left off all three engines, causing all oil to leak out in flight. One engine shut down at first sign of trouble, followed by failure of other two engines. First engine restarted at an altitude of 3,000 feet and ran long enough to make a safe landing at Miami 9 minutes later.
53;01/01/1955;10;Nigeria;Calabar;4.95;8.325;West African Airways;6.4445543;7.4901772;4.95;8.325;Bristol 170 Freighter 21E;13;13;Crashed shortly after taking off after a wing failed. A design flaw in the wing led to fatigue cracks and wing failure.
54;01/01/2002;19;Nigeria;Calabar;4.95;8.325;Sky Executive Air Services;4.7714914;7.0143486;4.95;8.325;LET 410UVP;5;5;The plane crashed approximately 12 miles from Calabar while attempting to land. All passengers departed at Port Harcourt and only a crew of 5 was aboard. The premature departure of the plane from the normal minimum safe altitude of 2,500 ft. without air trafficontroller's clearance until it flew into the terrain. Other contributing factors were the emergence of electrical problem on the aircraft at the commencement of the approach which might have distracted the pilot and unfavorable weather conditions of low ceiling and thunderstorms which impaired visibility at the critical time of descent.
55;01/01/1963;6;Suisse;Dürrenäsch;47.316667;8.15;Swissair;47.366667;8.55;46.2038106;6.1399651;Sud-Aviation Caravelle III;80;80;Prior to departure from Zurich Airport, the pilot,, without authorization, taxied half way down the runway in order to clear fog. The aircraft then went back to the beginning of the runway and took off only to crash 10 minutes later, 15 miles WSW of Zurich. Braking done during the fog clearing procedure overheated the brakes which led to the wheel flange splitting and a burst tire which damaged a fuel line which caused a fire to start which ultimately led to the loss of control of the aircraft.
56;01/01/1998;13;Sri Lanka;Mannar;8.966667;79.883333;Lionair;9.666667;80;6.934444;79.842778;Antonov AN-24RV;55;55;Ten minutes after taking off from Jaffna, the plane disappeared from radar. The aircraft crashed into the sea 35 nm north of Mannar. The plane was shot down by LTTE (Liberation Tigers of Tamil Eelam) rebels.
57;01/01/1990;13;Inde;Bangalore;12.966667;77.566667;Indian Airlines;18.975;72.825833;12.966667;77.566667;Airbus A320-231;146;92;On final approach, the aircraft descended below the normal approach profile until it hit the ground 2,300 ft. short and 200 ft. to the right of the runway centerline. The co-pilot's (in this case check captain's) flight director was left in the Open Descent Idle Mode instead of the Vertical Speed Mode, the prescribed setting for an approach and landing.The aircraft could not maintain the correct flight path at idle power. Failure of the crew to realize the gravity of the situation and respond immediately towards proper action of moving the throttles, even after the radio altitude call-outs.
58;01/01/1971;7;Inde;Chinnamanur;9.83;77.38;Indian Airlines;8.4875;76.9525;9.920129;78.110878;HAL-748-224 Srs.2;31;21;Strayed off course and flew into a mountain.
59;01/01/2000;9;Inde;Kumarapuram;8.289709;77.321581;Military;6.934444;79.842778;7.4045;81.8233643;Mil Mi-17;14;14;The Air Force helicopter was on a domestiflight when it cashed into mountainous terrain 75 km from Colombo. The helicopter‚Äö√Ñ√¥s pilot had contacted air trafficontrollers saying he had problems with visibility and was lowering his altitude. Sri Lanka, Muslim Congress leader M. H. M. Ashraff, 52, along with members of his entourage were killed.
60;01/01/1988;16;Russie;Nijnevartovsk;60.95;76.55;Aeroflot;60.95;76.55;57.1545607;65.5374896;Yakovlev YAK-40;31;27;The plane stalled and crashed after a loss of engine power on takeoff. The engine throttles were reduced at a critical stage of the takeoff for undetermined reasons, probably by the crew.
61;01/01/1996;18;Inde;Charkhi Dadri;28.582179;76.182824;Saudi Arabian Airlines / Kazastan Airlines;28.613889;77.208889;26.266667;50.15;Boeing B-747-168B / Ilyushin IL-76TD;349;349;Midair collision 17 km W of New Delhi. The Saudi 747 had just taken off from New Delhi airport ascending to 14,000 feet while the Il-76 was descending. Three hundred twelve aboard the B-747 and thirty-seven aboard the Il-76 were killed. The Il-76 descended below its assigned altitude. The death toll was reduced from 351 to 349 after Kazastan Airlines reported 37 aboard rather than 39. Neither aircraft was equipped with an Airborne Collision Avoidance System. The 747 had taken off from Delhi and had been cleared to climb to FL140. Meanwhile, the IL76, which was inbound to Delhi on the same airway, had been cleared to descend to FL150. However, due to a misunderstanding, the pilot and most of the cockpit crew of the IL76 believed the flight had been cleared to continue down to FL140. The Indian accident report attributed the failure of most of the IL76 crew to correctly understand the situation to their lack of a working knowledge of English. Also contributing to the crew's decision to continue the descent below their clearance limit were poor cockpit resource management, a lack of leadership by the captain, a lack of co-ordination between the crew and a general casual attitude to the conduct of the flight.
62;01/01/1956;14;Pakistan;Sialkot;32.4925;74.53111;Pakistan International Airlines;35.921059;74.264893;33.714794;73.062885;Douglas C-47B;3;3;Struck Lash Golath Moutain while en route.
63;01/01/1989;7;Pakistan;Gilgit;35.921059;74.264893;Pakistan International Airlines;35.921059;74.264893;33.714794;73.062885;Fokker F-27 Friendship 200;54;54;Crashed into Himalaya Mountains en route from Gilgit to Islamabad.
64;01/01/1988;6;Russie;Sourgout;61.25;73.433333;Aeroflot;57.1545607;65.5374896;61.25;73.433333;Tupolev TU-134A;51;20;The aircraft made a hard landing beside the runway, broke up and caught fire. Crew error. Visual contact with the runway was lost as the aircraft descended through the decision height.
65;01/01/1984;5;Russie;Omsk;54.983333;73.366667;Aeroflot;45.033333;38.966667;54.983333;73.366667;Tupolev TU-154B;179;174;While landing, the crew noticed something on the runway, took evasive action and crashed into two cleaning vehicles. The flying control officer (ATC) fell asleep and did not inform the controllers cleaning vehicles were on the runway.
66;01/01/1970;2;Pakistan;Islamabad;33.714794;73.062885;Pakistan International Airlines;33.6019221;73.0380814;31.5619174;74.3480789;Fokker F-27 Friendship 200;30;30;Crashed into terrain after takeoff in thunderstorms and strong winds.
67;01/01/1965;1;Pakistan;Patian;34.07;73.05;Pakistan International Airlines;33.6019221;73.0380814;35.338471;75.550247;Fokker F-27 Friendship 200;4;4;The cago plane did not clear a ridge and crashed.
68;01/01/1976;1;Inde;Mumbai;18.975;72.825833;Indian Airlines;18.975;72.825833;13.066956;80.1693;Sud-Aviation Caravelle VI-N;95;95;The aircraft crash landed in flames during an emergency landing. The right engine failed during takeoff. A fatigue crack in compressor led to engine destruction, severing of fuel lines and fire. The fire spread because the crew did not shut off the fuel supply.
69;01/01/1988;7;Inde;Ahmedabad;23.01451;72.59176;Indian Airlines;18.975;72.825833;23.0145096;72.5917595;Boeing B-737-2A8;129;124;The plane hit an electrical mast, 5 miles short of runway during an approach in fog and burst into flames.
70;01/01/2008;11;Pakistan;Lawa;32.697222;71.934722;Blue Wing Airlines;5.866667;-55.166667;32.697222;71.934722;Antonov An-28;19;19;While attempting to land the crew aborted the the approach and executed a go-around. Soon after the plane flew into a hillside.
71;01/01/1988;16;Pakistan;Bahawalpur;29.395556;71.683611;Military;29.395556;71.683611;33.714794;73.062885;Lockheed C-130B;30;30;Crashed shortly after taking off from Bahawalpur 60 miles the Indian border. Act of sabotage. Detonation of a low level explosive device or incapacitating gas. U.S. Ambassador to Pakistan, Arnold Raphel, 45, and Muhammad Zia ul-Haq 64, killed. A recent report states that the accident was caused by the failure of the elevator control system due to a mechanical failure.
72;01/01/2005;17;Pakistan;Peshawar;34.006962;71.533057;Kam Air;34.341944;62.203056;34.5218409;69.1806732;Boeing B-737-200;104;104;Unable to land at Kabul because of a blizzard, the crew tried to reach Peshawar, Pakistan but crashed into 11,000 ft. Chaperi Mountain Kabul.
73;01/01/1986;20;Pakistan;Peshawar;34.006962;71.533057;Pakistan International Airlines;31.5619174;74.3480789;34.006962;71.5330569;Fokker F-27 Friendship 600;54;13;Crashed short of the runway on approach, broke up and landed inverted. Crew error. The aircraft was allowed to descent below MDA. Crew did not properly monitor the altitude.
74;01/01/2006;12;Pakistan;Multan;30.201923;71.453062;Pakistan International Airlines;30.2019229;71.4530618;31.5619174;74.3480789;Fokker F-27 Friendship 200;45;45;The plane lost an engine during take off, struck power lines and crashed into a wheat field bursting into flames.
75;01/01/2003;8;Pakistan;Kohat;33.602689;71.432684;Military;33.714794;73.062885;33.6026892;71.4326835;Fokker F-27 Friendship 200;17;17;The plane crashed into a mountainside in a remote region the town of Kohat, about 250 kilometers northwest of Islamabad. Among those killed was Air Force chief Mushaf Ali Mir. Pilot error. Pilot's premature descent below minima which resulted in the aircraft hitting a cloud covered ridge at 3,000 feet above sea level.
76;01/01/1974;12;Italie;Turin;45.066667;7.7;Itavia;44.5075;11.351389;45.066667;7.7;Fokker F-28 Fellowship 1000;42;38;Crashed 2 miles short of the runway during an approach in fog and heavy rain.
77;01/01/2006;11;Nigeria;Abuja;9.066667;7.483333;ADC Airlines;6.4511367;3.3883962;9.066667;7.483333;Boeing 737-2B7;105;96;The jetliner crashed into a corn field about a mile from the end of the runway while attempting to take off from Abuja. The pilot did not heed air trafficontrollers' advice to not depart in stormy weather.
78;01/01/1994;12;Nigeria;Abuja;9.066667;7.483333;Aerocontroctors;6.4511367;3.3883962;9.066667;7.483333;de Havilland Canada DHC-6 Twin Otter 300;5;3;The aircraft few into the side of a hill during heavy rain, high winds and severe turbulence.
79;01/01/1988;14;France;Habsheim;47.728759;7.416617;Air France;47.5596145;7.5806107;47.5596145;7.5806107;Airbus A320-111;136;3;The plane was scheduled to perform a series of fly-bys at an air show. The plane was to descend to 100 ft. altitude with landing gear and flaps extended. The automatigo-around protection (Alpha Floor Function) was inhibited for the maneuver. During the maneuver, the plane descended thru 100 ft. to an altitude of 30 feet and hit trees at the end of the runway. The aircraft was totally destroyed by the successive impacts and violent fire which followed. The pilot allowed the aircraft to descend through 100 ft. at slow speed and maximum angle of attack and was late in applying go-around power. Unfamiliarity of the crew with the landing field and lack of planning for the flyby.
80;01/01/1952;8;France;Nice;43.703427;7.266266;Air France;43.7034273;7.2662656;48.856895;2.3508487;SNCASE Languedoc;38;38;After taking off, the plane was observed turning to the left until it turned on its back and crashed. Malfunction of ailerons. The gear chain of the co-pilot's control column slipped off the sprocket and jammed the aileron controls.
81;01/01/1968;10;France;Antibes;43.5808;7.1239;Air France;41.9267;8.7369;43.7034273;7.2662656;Sud-Aviation Caravelle 3;95;95;The airliner crashed into the Mediterranean sea, 10 miles south of Nice Airport, while attempting an emergency landing 21 minutes after taking off. Prior to the crash a message was received that there was fire aboard in the rear of the cabin.
82;01/01/2005;14;Nigeria;Port Harcourt;4.771491;7.014349;Sosoliso Airlines;9.066667;7.483333;4.7714914;7.0143486;McDonnell DC-9-32;109;108;The plane crash-landed and burst into flames in a lightning storm while attempting to land at Port Harcourt Airport. Pilot error. The crew's decision to continue to approach below the decision altitude without having the runway in sight. It was recommended to improve the training of Nigerian pilots to recognize and recover from adverse weather conditions including windshear. Also, airports and aircraft should be equipped with instruments to detect windshear.
83;01/01/2004;11;Afghanistan;Begrâm;34.9403;69.255;Presidental Airways Inc.;34.9403;69.255;32.3748055;62.1157227;CASA 212-CC;6;6;Crashed into a mountain 80 miles west of Bagram while en route. The wreckage site was located a the 14,000 ft. level of a 16,739 ft. mountain. The crew deliberately avoided the standard route and took a joy ride in another direction, eventually becoming trapped in a canyon and slamming into a mountainside.
84;01/01/1953;3;Pakistan;Karachi;24.850248;67.007546;Canadian PacifiAir Lines;24.850248;67.007546;16.8;96.15;de Havilland DH106 Comet 1A;11;11;The aircraft overran the runway during takeoff. Excessive nose-up attitude of the aircraft during the takeoff run producing a partly stalled condition and excessive drag. The pilot who had only limited experience in the Comet aircraft, elected to takeoff at night at the maximum permissable takeoff for the prevailing conditions. The circumstances required strict adherence to the prescribed takeoff technique, which was not complied with. First fatal crash of a commercial jet aircraft. The aircraft was named Empress of Hawaii.
85;01/01/1986;6;Pakistan;Karachi;24.850248;67.007546;Pan American World Airways;18.975;72.825833;24.850248;67.007546;Boeing B-747-121;384;16;While on the ground, four hijackers opened fire on the passengers and crew and threw grenades among them, killing 16 passengers, one crew member and one ground crew memeber. The aircraft was named Clipper Empress of the Seas.
86;01/01/1985;11;Afghanistan;Kandahar;31.616667;65.716667;Ariana Afghan Airlines;31.616667;65.716667;32.3748055;62.1157227;Antonov AN-26;52;52;Shot down by rebels with a ground-to-air missile while flying at FL130.
87;01/01/1989;17;Russie;Tioumen;57.154561;65.53749;Aeroflot;58.0067547;56.2285736;45.344304;34.93074;Antonov AN-24;42;34;Crashed right of the runway during an approach in haze and snow.
